cardName,cardNumber,cardRarity,cardSubType,cleanName,finishType,marketPrice,setEra,setName,source_file,stage,supertype
Mega Camerupt ex - 022/132,022/132,Double Rare,Fire,Mega Camerupt,Holofoil,0.55,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Litleo - 023/132,023/132,Common,Fire,Litleo,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Litleo - 023/132,023/132,Common,Fire,Litleo,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Pyroar,024/132,Uncommon,Fire,Pyroar,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Pyroar,024/132,Uncommon,Fire,Pyroar,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Volcanion,025/132,Uncommon,Fire,Volcanion,Normal,0.1,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Volcanion,025/132,Uncommon,Fire,Volcanion,Reverse Holofoil,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Scorbunny,026/132,Common,Fire,Scorbunny,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Scorbunny,026/132,Common,Fire,Scorbunny,Normal,0.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Raboot,027/132,Common,Fire,Raboot,Normal,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Raboot,027/132,Common,Fire,Raboot,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Cinderace,028/132,Rare,Fire,Cinderace,Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Cinderace,028/132,Rare,Fire,Cinderace,Reverse Holofoil,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Sizzlipede,029/132,Common,Fire,Sizzlipede,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Sizzlipede,029/132,Common,Fire,Sizzlipede,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Centiskorch,030/132,Uncommon,Fire,Centiskorch,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Centiskorch,030/132,Uncommon,Fire,Centiskorch,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Chi-Yu,031/132,Uncommon,Fire,Chi-Yu,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Chi-Yu,031/132,Uncommon,Fire,Chi-Yu,Reverse Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Mantine,032/132,Common,Water,Mantine,Reverse Holofoil,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Mantine,032/132,Common,Water,Mantine,Normal,0.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Corphish,033/132,Common,Water,Corphish,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Corphish,033/132,Common,Water,Corphish,Reverse Holofoil,0.1,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Kyogre,034/132,Rare,Water,Kyogre,Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Kyogre,034/132,Rare,Water,Kyogre,Reverse Holofoil,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Snover - 035/132,035/132,Common,Water,Snover,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Snover - 035/132,035/132,Common,Water,Snover,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Mega Abomasnow ex - 036/132,036/132,Double Rare,Water,Mega Abomasnow,Holofoil,0.54,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Clauncher,037/132,Common,Water,Clauncher,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Clauncher,037/132,Common,Water,Clauncher,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Clawitzer - 038/132,038/132,Rare,Water,Clawitzer,Holofoil,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Clawitzer - 038/132,038/132,Rare,Water,Clawitzer,Reverse Holofoil,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Sobble,039/132,Common,Water,Sobble,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Sobble,039/132,Common,Water,Sobble,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Drizzile,040/132,Common,Water,Drizzile,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Drizzile,040/132,Common,Water,Drizzile,Reverse Holofoil,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Inteleon - 041/132,041/132,Uncommon,Water,Inteleon,Normal,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Inteleon - 041/132,041/132,Uncommon,Water,Inteleon,Reverse Holofoil,0.16,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Snom,042/132,Common,Water,Snom,Normal,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Snom,042/132,Common,Water,Snom,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Frosmoth,043/132,Uncommon,Water,Frosmoth,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Frosmoth,043/132,Uncommon,Water,Frosmoth,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Eiscue,044/132,Common,Water,Eiscue,Normal,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Eiscue,044/132,Common,Water,Eiscue,Reverse Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Magnemite,045/132,Common,Lightning,Magnemite,Reverse Holofoil,0.16,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Magnemite,045/132,Common,Lightning,Magnemite,Normal,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Magneton,046/132,Common,Lightning,Magneton,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Magneton,046/132,Common,Lightning,Magneton,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Magnezone,047/132,Uncommon,Lightning,Magnezone,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Magnezone,047/132,Uncommon,Lightning,Magnezone,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Raikou,048/132,Rare,Lightning,Raikou,Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Raikou,048/132,Rare,Lightning,Raikou,Reverse Holofoil,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Electrike,049/132,Common,Lightning,Electrike,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Electrike,049/132,Common,Lightning,Electrike,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Mega Manectric ex - 050/132,050/132,Double Rare,Lightning,Mega Manectric,Holofoil,0.62,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Pachirisu,051/132,Common,Lightning,Pachirisu,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Pachirisu,051/132,Common,Lightning,Pachirisu,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Helioptile - 052/132,052/132,Common,Lightning,Helioptile,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Helioptile - 052/132,052/132,Common,Lightning,Helioptile,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Heliolisk,053/132,Common,Lightning,Heliolisk,Reverse Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Heliolisk,053/132,Common,Lightning,Heliolisk,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Abra,054/132,Common,Psychic,Abra,Normal,0.16,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Abra,054/132,Common,Psychic,Abra,Reverse Holofoil,0.26,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Kadabra,055/132,Uncommon,Psychic,Kadabra,Normal,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Kadabra,055/132,Uncommon,Psychic,Kadabra,Reverse Holofoil,0.28,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Alakazam,056/132,Rare,Psychic,Alakazam,Holofoil,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Alakazam,056/132,Rare,Psychic,Alakazam,Reverse Holofoil,0.32,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Jynx,057/132,Common,Psychic,Jynx,Reverse Holofoil,0.12,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Jynx,057/132,Common,Psychic,Jynx,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Ralts,058/132,Common,Psychic,Ralts,Normal,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Ralts,058/132,Common,Psychic,Ralts,Reverse Holofoil,0.24,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Kirlia,059/132,Common,Psychic,Kirlia,Normal,0.25,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Kirlia,059/132,Common,Psychic,Kirlia,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Mega Gardevoir ex - 060/132,060/132,Double Rare,Psychic,Mega Gardevoir,Holofoil,0.59,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon
Shedinja - 061/132,061/132,Uncommon,Psychic,Shedinja,Reverse Holofoil,0.23,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Shedinja - 061/132,061/132,Uncommon,Psychic,Shedinja,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Spoink,062/132,Common,Psychic,Spoink,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Spoink,062/132,Common,Psychic,Spoink,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Grumpig,063/132,Uncommon,Psychic,Grumpig,Reverse Holofoil,0.12,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Grumpig,063/132,Uncommon,Psychic,Grumpig,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Xerneas,064/132,Rare,Psychic,Xerneas,Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Xerneas,064/132,Rare,Psychic,Xerneas,Reverse Holofoil,0.16,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Greavard,065/132,Common,Psychic,Greavard,Normal,0.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Greavard,065/132,Common,Psychic,Greavard,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Houndstone - 066/132,066/132,Uncommon,Psychic,Houndstone,Reverse Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Houndstone - 066/132,066/132,Uncommon,Psychic,Houndstone,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Gimmighoul,067/132,Common,Psychic,Gimmighoul,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Gimmighoul,067/132,Common,Psychic,Gimmighoul,Reverse Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Sandshrew,068/132,Common,Fighting,Sandshrew,Normal,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Sandshrew,068/132,Common,Fighting,Sandshrew,Reverse Holofoil,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Sandslash,069/132,Common,Fighting,Sandslash,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Sandslash,069/132,Common,Fighting,Sandslash,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Onix,070/132,Common,Fighting,Onix,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Onix,070/132,Common,Fighting,Onix,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Tyrogue,071/132,Common,Fighting,Tyrogue,Normal,0.1,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Tyrogue,071/132,Common,Fighting,Tyrogue,Reverse Holofoil,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Makuhita,072/132,Common,Fighting,Makuhita,Reverse Holofoil,0.24,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Makuhita,072/132,Common,Fighting,Makuhita,Normal,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Hariyama,073/132,Rare,Fighting,Hariyama,Holofoil,0.26,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Hariyama,073/132,Rare,Fighting,Hariyama,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon
Lunatone,074/132,Rare,Fighting,Lunatone,Reverse Holofoil,0.27,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
Lunatone,074/132,Rare,Fighting,Lunatone,Holofoil,0.24,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon
