cardName,cardNumber,cardRarity,cardSubType,cleanName,finishType,marketPrice,setEra,setName,source_file,stage,supertype,patternType,tagName,isLegendary,isMythical,isStarter,isEeveelution,isMascot,isWaifuTrainer
Shiftry,015/132,Uncommon,Grass,Shiftry,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Shiftry,False,False,False,False,False,False
Shiftry,015/132,Uncommon,Grass,Shiftry,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Shiftry,False,False,False,False,False,False
Nincada,016/132,Common,Grass,Nincada,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Nincada,False,False,False,False,False,False
Nincada,016/132,Common,Grass,Nincada,Reverse Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Nincada,False,False,False,False,False,False
Ninjask - 017/132,017/132,Uncommon,Grass,Ninjask,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Ninjask,False,False,False,False,False,False
Ninjask - 017/132,017/132,Uncommon,Grass,Ninjask,Normal,0.02,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Ninjask,False,False,False,False,False,False
Dhelmise,018/132,Common,Grass,Dhelmise,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Dhelmise,False,False,False,False,False,False
Dhelmise,018/132,Common,Grass,Dhelmise,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Dhelmise,False,False,False,False,False,False
Vulpix - 019/132,019/132,Common,Fire,Vulpix,Normal,0.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Vulpix,False,False,False,False,False,False
Vulpix - 019/132,019/132,Common,Fire,Vulpix,Reverse Holofoil,0.26,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Vulpix,False,False,False,False,False,False
Ninetales,020/132,Uncommon,Fire,Ninetales,Normal,0.12,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Ninetales,False,False,False,False,False,False
Ninetales,020/132,Uncommon,Fire,Ninetales,Reverse Holofoil,0.24,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Ninetales,False,False,False,False,False,False
Numel,021/132,Common,Fire,Numel,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Numel,False,False,False,False,False,False
Numel,021/132,Common,Fire,Numel,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Numel,False,False,False,False,False,False
Mega Camerupt ex - 022/132,022/132,Double Rare,Fire,Mega Camerupt,Holofoil,0.55,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Camerupt,False,False,False,False,False,False
Litleo - 023/132,023/132,Common,Fire,Litleo,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Litleo,False,False,False,False,False,False
Litleo - 023/132,023/132,Common,Fire,Litleo,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Litleo,False,False,False,False,False,False
Pyroar,024/132,Uncommon,Fire,Pyroar,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Pyroar,False,False,False,False,False,False
Pyroar,024/132,Uncommon,Fire,Pyroar,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Pyroar,False,False,False,False,False,False
Volcanion,025/132,Uncommon,Fire,Volcanion,Normal,0.1,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Volcanion,False,True,False,False,False,False
Volcanion,025/132,Uncommon,Fire,Volcanion,Reverse Holofoil,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Volcanion,False,True,False,False,False,False
Scorbunny,026/132,Common,Fire,Scorbunny,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Scorbunny,False,False,True,False,False,False
Scorbunny,026/132,Common,Fire,Scorbunny,Normal,0.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Scorbunny,False,False,True,False,False,False
Raboot,027/132,Common,Fire,Raboot,Normal,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Raboot,False,False,True,False,False,False
Raboot,027/132,Common,Fire,Raboot,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Raboot,False,False,True,False,False,False
Cinderace,028/132,Rare,Fire,Cinderace,Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Cinderace,False,False,True,False,False,False
Cinderace,028/132,Rare,Fire,Cinderace,Reverse Holofoil,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Cinderace,False,False,True,False,False,False
Sizzlipede,029/132,Common,Fire,Sizzlipede,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Sizzlipede,False,False,False,False,False,False
Sizzlipede,029/132,Common,Fire,Sizzlipede,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Sizzlipede,False,False,False,False,False,False
Centiskorch,030/132,Uncommon,Fire,Centiskorch,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Centiskorch,False,False,False,False,False,False
Centiskorch,030/132,Uncommon,Fire,Centiskorch,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Centiskorch,False,False,False,False,False,False
Chi-Yu,031/132,Uncommon,Fire,Chi-Yu,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Chi-Yu,True,False,False,False,False,False
Chi-Yu,031/132,Uncommon,Fire,Chi-Yu,Reverse Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Chi-Yu,True,False,False,False,False,False
Mantine,032/132,Common,Water,Mantine,Reverse Holofoil,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Mantine,False,False,False,False,False,False
Mantine,032/132,Common,Water,Mantine,Normal,0.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Mantine,False,False,False,False,False,False
Corphish,033/132,Common,Water,Corphish,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Corphish,False,False,False,False,False,False
Corphish,033/132,Common,Water,Corphish,Reverse Holofoil,0.1,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Corphish,False,False,False,False,False,False
Kyogre,034/132,Rare,Water,Kyogre,Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Kyogre,True,False,False,False,False,False
Kyogre,034/132,Rare,Water,Kyogre,Reverse Holofoil,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Kyogre,True,False,False,False,False,False
Snover - 035/132,035/132,Common,Water,Snover,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Snover,False,False,False,False,False,False
Snover - 035/132,035/132,Common,Water,Snover,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Snover,False,False,False,False,False,False
Mega Abomasnow ex - 036/132,036/132,Double Rare,Water,Mega Abomasnow,Holofoil,0.54,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Abomasnow,False,False,False,False,False,False
Clauncher,037/132,Common,Water,Clauncher,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Clauncher,False,False,False,False,False,False
Clauncher,037/132,Common,Water,Clauncher,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Clauncher,False,False,False,False,False,False
Clawitzer - 038/132,038/132,Rare,Water,Clawitzer,Holofoil,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Clawitzer,False,False,False,False,False,False
Clawitzer - 038/132,038/132,Rare,Water,Clawitzer,Reverse Holofoil,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Clawitzer,False,False,False,False,False,False
Sobble,039/132,Common,Water,Sobble,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Sobble,False,False,True,False,False,False
Sobble,039/132,Common,Water,Sobble,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Sobble,False,False,True,False,False,False
Drizzile,040/132,Common,Water,Drizzile,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Drizzile,False,False,True,False,False,False
Drizzile,040/132,Common,Water,Drizzile,Reverse Holofoil,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Drizzile,False,False,True,False,False,False
Inteleon - 041/132,041/132,Uncommon,Water,Inteleon,Normal,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Inteleon,False,False,True,False,False,False
Inteleon - 041/132,041/132,Uncommon,Water,Inteleon,Reverse Holofoil,0.16,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Inteleon,False,False,True,False,False,False
Snom,042/132,Common,Water,Snom,Normal,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Snom,False,False,False,False,False,False
Snom,042/132,Common,Water,Snom,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Snom,False,False,False,False,False,False
Frosmoth,043/132,Uncommon,Water,Frosmoth,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Frosmoth,False,False,False,False,False,False
Frosmoth,043/132,Uncommon,Water,Frosmoth,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Frosmoth,False,False,False,False,False,False
Eiscue,044/132,Common,Water,Eiscue,Normal,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Eiscue,False,False,False,False,False,False
Eiscue,044/132,Common,Water,Eiscue,Reverse Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Eiscue,False,False,False,False,False,False
Magnemite,045/132,Common,Lightning,Magnemite,Reverse Holofoil,0.16,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Magnemite,False,False,False,False,False,False
Magnemite,045/132,Common,Lightning,Magnemite,Normal,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Magnemite,False,False,False,False,False,False
Magneton,046/132,Common,Lightning,Magneton,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Magneton,False,False,False,False,False,False
Magneton,046/132,Common,Lightning,Magneton,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Magneton,False,False,False,False,False,False
Magnezone,047/132,Uncommon,Lightning,Magnezone,Reverse Holofoil,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Magnezone,False,False,False,False,False,False
Magnezone,047/132,Uncommon,Lightning,Magnezone,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Magnezone,False,False,False,False,False,False
Raikou,048/132,Rare,Lightning,Raikou,Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Raikou,True,False,False,False,False,False
Raikou,048/132,Rare,Lightning,Raikou,Reverse Holofoil,0.21,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Raikou,True,False,False,False,False,False
Electrike,049/132,Common,Lightning,Electrike,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Electrike,False,False,False,False,False,False
Electrike,049/132,Common,Lightning,Electrike,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Electrike,False,False,False,False,False,False
Mega Manectric ex - 050/132,050/132,Double Rare,Lightning,Mega Manectric,Holofoil,0.62,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Manectric,False,False,False,False,False,False
Pachirisu,051/132,Common,Lightning,Pachirisu,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Pachirisu,False,False,False,False,False,False
Pachirisu,051/132,Common,Lightning,Pachirisu,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Pachirisu,False,False,False,False,False,False
Helioptile - 052/132,052/132,Common,Lightning,Helioptile,Normal,0.09,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Helioptile,False,False,False,False,False,False
Helioptile - 052/132,052/132,Common,Lightning,Helioptile,Reverse Holofoil,0.18,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Helioptile,False,False,False,False,False,False
Heliolisk,053/132,Common,Lightning,Heliolisk,Reverse Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Heliolisk,False,False,False,False,False,False
Heliolisk,053/132,Common,Lightning,Heliolisk,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Heliolisk,False,False,False,False,False,False
Abra,054/132,Common,Psychic,Abra,Normal,0.16,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Abra,False,False,False,False,False,False
Abra,054/132,Common,Psychic,Abra,Reverse Holofoil,0.26,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Abra,False,False,False,False,False,False
Kadabra,055/132,Uncommon,Psychic,Kadabra,Normal,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Kadabra,False,False,False,False,False,False
Kadabra,055/132,Uncommon,Psychic,Kadabra,Reverse Holofoil,0.28,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Kadabra,False,False,False,False,False,False
Alakazam,056/132,Rare,Psychic,Alakazam,Holofoil,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Alakazam,False,False,False,False,False,False
Alakazam,056/132,Rare,Psychic,Alakazam,Reverse Holofoil,0.32,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Alakazam,False,False,False,False,False,False
Jynx,057/132,Common,Psychic,Jynx,Reverse Holofoil,0.12,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Jynx,False,False,False,False,False,False
Jynx,057/132,Common,Psychic,Jynx,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Jynx,False,False,False,False,False,False
Ralts,058/132,Common,Psychic,Ralts,Normal,0.2,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Ralts,False,False,False,False,False,False
Ralts,058/132,Common,Psychic,Ralts,Reverse Holofoil,0.24,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Ralts,False,False,False,False,False,False
Kirlia,059/132,Common,Psychic,Kirlia,Normal,0.25,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Kirlia,False,False,False,False,False,False
Kirlia,059/132,Common,Psychic,Kirlia,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Kirlia,False,False,False,False,False,False
Mega Gardevoir ex - 060/132,060/132,Double Rare,Psychic,Mega Gardevoir,Holofoil,0.59,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 2,Pokemon,none,Gardevoir,False,False,False,False,False,False
Shedinja - 061/132,061/132,Uncommon,Psychic,Shedinja,Reverse Holofoil,0.23,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Shedinja,False,False,False,False,False,False
Shedinja - 061/132,061/132,Uncommon,Psychic,Shedinja,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Shedinja,False,False,False,False,False,False
Spoink,062/132,Common,Psychic,Spoink,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Spoink,False,False,False,False,False,False
Spoink,062/132,Common,Psychic,Spoink,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Spoink,False,False,False,False,False,False
Grumpig,063/132,Uncommon,Psychic,Grumpig,Reverse Holofoil,0.12,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Grumpig,False,False,False,False,False,False
Grumpig,063/132,Uncommon,Psychic,Grumpig,Normal,0.05,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Grumpig,False,False,False,False,False,False
Xerneas,064/132,Rare,Psychic,Xerneas,Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Xerneas,True,False,False,False,False,False
Xerneas,064/132,Rare,Psychic,Xerneas,Reverse Holofoil,0.16,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Xerneas,True,False,False,False,False,False
Greavard,065/132,Common,Psychic,Greavard,Normal,0.08,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Greavard,False,False,False,False,False,False
Greavard,065/132,Common,Psychic,Greavard,Reverse Holofoil,0.17,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Greavard,False,False,False,False,False,False
Houndstone - 066/132,066/132,Uncommon,Psychic,Houndstone,Reverse Holofoil,0.14,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Houndstone,False,False,False,False,False,False
Houndstone - 066/132,066/132,Uncommon,Psychic,Houndstone,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Houndstone,False,False,False,False,False,False
Gimmighoul,067/132,Common,Psychic,Gimmighoul,Normal,0.04,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Gimmighoul,False,False,False,False,False,False
Gimmighoul,067/132,Common,Psychic,Gimmighoul,Reverse Holofoil,0.11,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Gimmighoul,False,False,False,False,False,False
Sandshrew,068/132,Common,Fighting,Sandshrew,Normal,0.13,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Sandshrew,False,False,False,False,False,False
Sandshrew,068/132,Common,Fighting,Sandshrew,Reverse Holofoil,0.22,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Sandshrew,False,False,False,False,False,False
Sandslash,069/132,Common,Fighting,Sandslash,Normal,0.06,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Sandslash,False,False,False,False,False,False
Sandslash,069/132,Common,Fighting,Sandslash,Reverse Holofoil,0.29,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Stage 1,Pokemon,none,Sandslash,False,False,False,False,False,False
Onix,070/132,Common,Fighting,Onix,Reverse Holofoil,0.19,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Onix,False,False,False,False,False,False
Onix,070/132,Common,Fighting,Onix,Normal,0.07,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Onix,False,False,False,False,False,False
Tyrogue,071/132,Common,Fighting,Tyrogue,Normal,0.1,Mega Evolution,Mega Evolution,me01_mega_evolution_cleaned.csv,Basic,Pokemon,none,Tyrogue,False,False,False,False,False,False
