productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extUPC
475424,Professor's Research - 190/198,Professor's Research,https://tcgplayer-cdn.tcgplayer.com/product/475424_200w.jpg,3,22873,https://cpt.tcgcsv.com/vbQ5,2026-02-12T17:01:41.563,1,190/198,Rare,Supporter,,,,,,,,0.01,0.17,501.5,0.15,0.05,Holofoil,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn.",
475424,Professor's Research - 190/198,Professor's Research,https://tcgplayer-cdn.tcgplayer.com/product/475424_200w.jpg,3,22873,https://cpt.tcgcsv.com/vbQ5,2026-02-12T17:01:41.563,1,190/198,Rare,Supporter,,,,,,,,0.02,0.25,2.0,0.24,0.15,Reverse Holofoil,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn.",
475443,Rock Chestplate,None,https://tcgplayer-cdn.tcgplayer.com/product/475443_200w.jpg,3,22873,https://cpt.tcgcsv.com/TbQ5,2025-10-31T18:25:51.62,1,192/198,Uncommon,Tool,,,,,,,,0.01,0.15,9999.0,0.05,0.01,Normal,"The Fighting Pokémon this card is attached to takes 30 less damage from attacks from your opponent's Pokémon <em>(after applying Weakness and Resistance)</em>.
<br><br>
You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached.",
475443,Rock Chestplate,None,https://tcgplayer-cdn.tcgplayer.com/product/475443_200w.jpg,3,22873,https://cpt.tcgcsv.com/TbQ5,2025-10-31T18:25:51.62,1,192/198,Uncommon,Tool,,,,,,,,0.05,0.24,19.98,0.2,,Reverse Holofoil,"The Fighting Pokémon this card is attached to takes 30 less damage from attacks from your opponent's Pokémon <em>(after applying Weakness and Resistance)</em>.
<br><br>
You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached.",
475651,Code Card - Paldea Collection [Fuecoco],None,https://tcgplayer-cdn.tcgplayer.com/product/475651_200w.jpg,3,22873,https://cpt.tcgcsv.com/2hQ5,2023-01-06T05:03:11.367,1,,Code Card,,,,,,,,,0.01,0.1,19.98,0.09,,Normal,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",
475652,Code Card - Paldea Collection [Sprigatito],None,https://tcgplayer-cdn.tcgplayer.com/product/475652_200w.jpg,3,22873,https://cpt.tcgcsv.com/3hQ5,2023-01-06T05:03:11.367,1,,Code Card,,,,,,,,,0.09,0.1,19.98,0.09,,Normal,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",
475653,Code Card - Paldea Collection [Quaxly],None,https://tcgplayer-cdn.tcgplayer.com/product/475653_200w.jpg,3,22873,https://cpt.tcgcsv.com/5hQ5,2023-01-06T05:03:11.367,1,,Code Card,,,,,,,,,0.09,0.13,19.98,0.09,,Normal,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",
476451,Scarlet & Violet Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/476451_200w.jpg,3,22873,https://cpt.tcgcsv.com/2CQ5,2025-10-24T19:21:20.733,1,,,,,,,,,,,6.9,8.91,16.0,8.95,,Normal,"Begin a New Adventure with Pokémon ex!Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br>
Each Scarlet & Violet: Base Set - Booster Pack contains 10 randomly inserted game cards.
<br>
Cards vary by pack. Pack may vary by product.",0820650853241
476452,Scarlet & Violet Booster Box,None,https://tcgplayer-cdn.tcgplayer.com/product/476452_200w.jpg,3,22873,https://cpt.tcgcsv.com/3CQ5,2023-03-31T04:03:37.037,1,,,,,,,,,,,250.0,302.5,3250.0,258.81,,Normal,"Begin a New Adventure with Pokémon ex!
<br>Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br><br>Each Scarlet & Violet booster box contains 36 Scarlet & Violet booster packs.",0820650863240
476453,Scarlet & Violet Booster Box Case,None,https://tcgplayer-cdn.tcgplayer.com/product/476453_200w.jpg,3,22873,https://cpt.tcgcsv.com/5CQ5,2025-10-24T19:19:53.56,1,,,,,,,,,,,1499.99,1870.0,6000.0,1480.85,,Normal,"Begin a New Adventure with Pokémon ex!<br>

Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>",0820650873249
478253,Scarlet & Violet Build & Battle Box,None,https://tcgplayer-cdn.tcgplayer.com/product/478253_200w.jpg,3,22873,https://cpt.tcgcsv.com/5kR5,2024-12-23T20:00:54.087,1,,,,,,,,,,,38.14,44.95,50.0,38.93,,Normal,"Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br><br>Contents:
<br>• A 40-card ready-to-play deck, including 1 of 4 unique foil promo cards
<br>• 4 Pokémon TCG: Scarlet & Violet booster packs
<br>• A code card for Pokémon TCG Live",0820650853463
478254,Scarlet & Violet Build & Battle Box Display,None,https://tcgplayer-cdn.tcgplayer.com/product/478254_200w.jpg,3,22873,https://cpt.tcgcsv.com/6kR5,2025-10-24T19:21:46.723,1,,,,,,,,,,,388.96,391.99,449.99,,,Normal,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>

Each display contains 10 Scarlet & Violet Build and Battle Boxes.",0820650863462
478257,Scarlet & Violet Build & Battle Stadium,None,https://tcgplayer-cdn.tcgplayer.com/product/478257_200w.jpg,3,22873,https://cpt.tcgcsv.com/9kR5,2025-10-24T19:21:52.44,1,,,,,,,,,,,114.0,119.0,133.0,84.82,,Normal,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>

The Build & Battle Stadium includes everything two players need to battle. 
<br>Inside this box, you’ll find:
<br>• 2 individual Build & Battle Boxes, each containing a ready-to-play 40-card deck
<br>• Each deck includes 1 of 4 foil promo cards
<br>• 3 additional Scarlet & Violet booster packs, so you get 11 in all
<br>• 121 Basic Energy cards
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 coin condition markers
<br>• A collector’s box to hold everything",0820650853470
478258,Scarlet & Violet Booster Bundle,None,https://tcgplayer-cdn.tcgplayer.com/product/478258_200w.jpg,3,22873,https://cpt.tcgcsv.com/bkR5,2023-03-31T04:03:37.037,2,,,,,,,,,,,99.98,103.0,139.99,85.23,,Normal,"Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br>Expand your collection with this Booster Bundle containing six booster packs from Pokémon TCG: Scarlet & Violet!",0820650853371
478273,Scarlet & Violet Sleeved Booster Pack,None,https://tcgplayer-cdn.tcgplayer.com/product/478273_200w.jpg,3,22873,https://cpt.tcgcsv.com/tkR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,5.99,10.0,49.99,8.57,,Normal,Each Scarlet & Violet Sleeved Booster Pack contains 10 random cards.,0820650853258
478274,Scarlet & Violet Sleeved Booster Pack Art Bundle [Set of 4],None,https://tcgplayer-cdn.tcgplayer.com/product/478274_200w.jpg,3,22873,https://cpt.tcgcsv.com/vkR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,42.6,42.69,42.69,40.87,,Normal,"Collect each of the 4 unique art packs for Scarlet & Violet.
<br>Each Scarlet & Violet Sleeved Booster Pack contains 10 random cards.",0820650853258
478275,Scarlet & Violet Sleeved Booster Pack Bundle [Set of 8],None,https://tcgplayer-cdn.tcgplayer.com/product/478275_200w.jpg,3,22873,https://cpt.tcgcsv.com/wkR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,79.74,79.82,79.89,78.86,,Normal,"Contains 8 Sleeved Booster packs for Scarlet & Violet.
<br>Each Scarlet & Violet Sleeved Booster Pack contains 10 random cards.",
478335,Scarlet & Violet Elite Trainer Box [Koraidon],None,https://tcgplayer-cdn.tcgplayer.com/product/478335_200w.jpg,3,22873,https://cpt.tcgcsv.com/KlR5,2025-10-24T19:27:43.233,2,,,,,,,,,,,119.99,136.75,189.99,114.96,,Normal,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>
The Pokémon TCG: Scarlet & Violet Elite Trainer Box includes:
• 9 Pokémon TCG: Scarlet & Violet booster packs
• 1 full-art foil promo card featuring Koraidon
• 65 card sleeves featuring Koraidon
• 45 Pokémon TCG Energy cards
• A player’s guide to the Scarlet & Violet expansion
• 6 damage-counter dice
• 1 competition-legal coin-flip die
• 2 plastic condition markers
• A collector’s box to hold everything, with 4 dividers to keep it organized
• A code card for Pokémon Trading Card Game Live",0820650853418
478336,Scarlet & Violet Elite Trainer Box [Miraidon],None,https://tcgplayer-cdn.tcgplayer.com/product/478336_200w.jpg,3,22873,https://cpt.tcgcsv.com/LlR5,2025-10-24T19:22:24.907,2,,,,,,,,,,,149.99,174.98,999.99,135.41,,Normal,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>
The Pokémon TCG: Scarlet & Violet Elite Trainer Box includes:
• 9 Pokémon TCG: Scarlet & Violet booster packs
• 1 full-art foil promo card featuring Miraidon
• 65 card sleeves featuring Miraidon
• 45 Pokémon TCG Energy cards
• A player’s guide to the Scarlet & Violet expansion
• 6 damage-counter dice
• 1 competition-legal coin-flip die
• 2 plastic condition markers
• A collector’s box to hold everything, with 4 dividers to keep it organized
• A code card for Pokémon Trading Card Game Live",0820650853418
478756,Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Miraidon],None,https://tcgplayer-cdn.tcgplayer.com/product/478756_200w.jpg,3,22873,https://cpt.tcgcsv.com/8wR5,2025-10-24T19:27:54.02,2,,,,,,,,,,,295.0,400.0,750.0,301.45,,Normal,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>
The Pokémon TCG: Scarlet & Violet Pokemon Center Elite Trainer Box includes:
<br>• 11 Pokémon TCG: Scarlet & Violet booster packs
<br>• 1 full-art foil promo card featuring Miraidon with a Pokémon Center logo
<br>• 1 full-art foil promo card featuring Miraidon
<br>• 65 card sleeves featuring Miraidon
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Scarlet & Violet expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 plastic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",
478758,Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Koraidon],None,https://tcgplayer-cdn.tcgplayer.com/product/478758_200w.jpg,3,22873,https://cpt.tcgcsv.com/bwR5,2025-10-24T19:27:12.08,2,,,,,,,,,,,279.99,372.5,550.0,290.34,,Normal,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>

The Pokémon TCG: Scarlet & Violet Pokemon Center Elite Trainer Box includes:
<br>• 11 Pokémon TCG: Scarlet & Violet booster packs
<br>• 1 full-art foil promo card featuring Koraidon with a Pokémon Center logo
<br>• 1 full-art foil promo card featuring Koraidon
<br>• 65 card sleeves featuring Koraidon
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Scarlet & Violet expansion
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 plastic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for Pokémon Trading Card Game Live",
478759,Scarlet & Violet Booster Pack Art Bundle [Set of 4],None,https://tcgplayer-cdn.tcgplayer.com/product/478759_200w.jpg,3,22873,https://cpt.tcgcsv.com/cwR5,2025-10-24T19:21:33.177,1,,,,,,,,,,,41.9,44.99,59.95,37.9,,Normal,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>

Collect each of the 4 unique art packs for Scarlet & Violet.
<br>Each Scarlet & Violet booster pack contains 10 random cards.",0820650853241
478761,Scarlet & Violet 3 Pack Blister [Arcanine],None,https://tcgplayer-cdn.tcgplayer.com/product/478761_200w.jpg,3,22873,https://cpt.tcgcsv.com/fwR5,2025-10-24T19:20:54.07,1,,,,,,,,,,,27.5,34.49,339.9,28.71,,Normal,"Begin a New Adventure with Pokémon ex!Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br>
Each 3 Pack blister comes with 3 Scarlet & Violet booster packs, 1 coin, and a promotional card of Arcanine.",0820650853289
478762,Scarlet & Violet 3 Pack Blister [Dondozo],None,https://tcgplayer-cdn.tcgplayer.com/product/478762_200w.jpg,3,22873,https://cpt.tcgcsv.com/gwR5,2025-10-24T19:18:34.723,1,,,,,,,,,,,28.92,29.99,294.8,24.94,,Normal,"Begin a New Adventure with Pokémon ex!<br>

Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>
Each 3 Pack blister comes with 3 Scarlet & Violet booster packs, 1 coin, and a promotional card of Dondozo.",0820650853289
478763,Scarlet & Violet 3 Pack Blister [Set of 2],None,https://tcgplayer-cdn.tcgplayer.com/product/478763_200w.jpg,3,22873,https://cpt.tcgcsv.com/hwR5,2025-10-24T19:18:40.16,1,,,,,,,,,,,59.68,59.94,59.95,50.86,,Normal,"Begin a New Adventure with Pokémon ex!<br>

Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>
Each individual 3 Pack blister comes with 3 Scarlet & Violet booster packs, 1 coin, and a promotional card of Arcanine or Dondozo.",0820650853289
478765,Scarlet & Violet Single Pack Blister [Spidops],None,https://tcgplayer-cdn.tcgplayer.com/product/478765_200w.jpg,3,22873,https://cpt.tcgcsv.com/kwR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,7.19,12.9,17.99,9.35,,Normal,"Each blister contains 1 Scarlet & Violet booster pack, a coin, and a promotional card of Spidops.",
478766,Scarlet & Violet Single Pack Blister [Espathra],None,https://tcgplayer-cdn.tcgplayer.com/product/478766_200w.jpg,3,22873,https://cpt.tcgcsv.com/lwR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,11.06,11.99,17.99,11.06,,Normal,"Each blister contains 1 Scarlet & Violet booster pack, a coin, and a promotional card of Espathra.",
478767,Scarlet & Violet Single Pack Blister [Set of 2],None,https://tcgplayer-cdn.tcgplayer.com/product/478767_200w.jpg,3,22873,https://cpt.tcgcsv.com/mwR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,22.69,22.78,22.87,19.06,,Normal,"Each blister contains 1 Scarlet & Violet booster pack, a coin, and a promotional card of Espathra or Spidops.",
479328,Scarlet & Violet Premium Checklane Blister [Gengar],None,https://tcgplayer-cdn.tcgplayer.com/product/479328_200w.jpg,3,22873,https://cpt.tcgcsv.com/BLR5,2025-10-24T19:27:58.833,1,,,,,,,,,,,,,,,,,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>

Contains 1 Scarlet & Violet booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",
479330,Scarlet & Violet Premium Checklane Blister [Machamp],None,https://tcgplayer-cdn.tcgplayer.com/product/479330_200w.jpg,3,22873,https://cpt.tcgcsv.com/DLR5,2025-10-24T19:28:12.36,1,,,,,,,,,,,40.0,40.0,40.0,,,Normal,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>

Contains 1 Scarlet & Violet booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",
479331,Scarlet & Violet Premium Checklane Blister [Set of 2],None,https://tcgplayer-cdn.tcgplayer.com/product/479331_200w.jpg,3,22873,https://cpt.tcgcsv.com/FLR5,2025-10-24T19:28:17.96,1,,,,,,,,,,,,,,,,,"Begin a New Adventure with Pokémon ex!
<br>
Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!<br><br>

Contains 1 Scarlet & Violet booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",
485106,Iron Treads ex - 143/198,Iron Treads,https://tcgplayer-cdn.tcgplayer.com/product/485106_200w.jpg,3,22873,https://cpt.tcgcsv.com/83V5,2026-03-12T19:06:52.54,1,143/198,Double Rare,Metal,220,Basic,"[3] Triple Laser
<br>
This attack does 30 damage to 3 of your opponent's Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>","[1MMM] Cybernetic Wheels (160)
<br>
Switch this Pokémon with 1 of your Benched Pokémon.",Rx2,G-30,3,0.17,0.99,501.5,0.55,0.44,Holofoil,"<strong>Pokémon ex rule</strong> — When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.",
485108,Lechonk - 155/198,Lechonk,https://tcgplayer-cdn.tcgplayer.com/product/485108_200w.jpg,3,22873,https://cpt.tcgcsv.com/b3V5,2026-01-27T23:49:26.113,1,155/198,Common,Colorless,60,Basic,"[1] Repulsive Stench
<br>Your opponent switches their Active Pokemon with 1 of their Benched Pokemon.",[2] Stampede (20),Fx2,None,1,0.01,0.15,9999.0,0.12,,Normal,,
