sale_date,title,price,platform,card,set_name,variant,grade,grading_company,keep,notes,grade_pop,total_pop
2026-04-17,Mewtwo VSTAR PSA 10,575.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-17,Mewtwo VSTAR PSA 10,535.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-17,Mewtwo VSTAR PSA 10,585.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-16,Mewtwo VSTAR PSA 10,515.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-16,Mewtwo VSTAR PSA 10,540.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-16,Mewtwo VSTAR PSA 10,509.42,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-15,Mewtwo VSTAR PSA 10,449.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-15,Mewtwo VSTAR PSA 10,550.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-15,Mewtwo VSTAR PSA 10,550.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-15,Mewtwo VSTAR PSA 10,510.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-14,Mewtwo VSTAR PSA 10,524.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-14,Mewtwo VSTAR PSA 10,549.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-13,Mewtwo VSTAR PSA 10,519.49,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-13,Mewtwo VSTAR PSA 10,450.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-13,Mewtwo VSTAR PSA 10,522.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-13,Mewtwo VSTAR PSA 10,510.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,10.0,PSA,yes,,24638.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,232.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,245.53,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,96.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,286.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,350.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,247.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,297.35,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,300.76,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,260.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,250.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,259.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,264.95,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,250.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,246.48,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,248.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,230.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,249.51,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,250.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,245.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,260.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,200.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,245.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,270.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,245.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,225.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,259.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,240.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,249.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,240.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 9,230.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,9.0,PSA,yes,,15190.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,250.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,200.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,189.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,203.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,171.81,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,214.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,199.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,200.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,172.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,180.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,180.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,155.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,151.12,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,173.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,167.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,188.73,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,128.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,150.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,130.06,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,167.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,94.95,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,138.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,145.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,129.19,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,138.5,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,118.7,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,150.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,145.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,130.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-04-20,Mewtwo VSTAR PSA 8,150.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,8.0,PSA,yes,,2529.0,42971.0
2026-01-21,Mewtwo VSTAR PSA 7,55.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,7.0,PSA,yes,,260.0,42971.0
2025-10-01,Mewtwo VSTAR PSA 7,72.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,7.0,PSA,yes,,260.0,42971.0
2025-01-13,Mewtwo VSTAR PSA 7,67.85,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,7.0,PSA,yes,,260.0,42971.0
2024-07-06,Mewtwo VSTAR PSA 7,38.49,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,7.0,PSA,yes,,260.0,42971.0
2024-02-16,Mewtwo VSTAR PSA 7,26.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,7.0,PSA,yes,,260.0,42971.0
2023-10-02,Mewtwo VSTAR PSA 7,26.02,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,7.0,PSA,yes,,260.0,42971.0
2023-09-06,Mewtwo VSTAR PSA 7,32.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,7.0,PSA,yes,,260.0,42971.0
2023-07-25,Mewtwo VSTAR PSA 7,38.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,7.0,PSA,yes,,260.0,42971.0
2025-01-15,Mewtwo VSTAR PSA 6,129.0,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,6.0,PSA,yes,,150.0,42971.0
2024-09-18,Mewtwo VSTAR PSA 6,32.08,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,6.0,PSA,yes,,150.0,42971.0
2025-11-22,Mewtwo VSTAR PSA 5,,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,5.0,PSA,yes,,93.0,42971.0
2025-05-29,Mewtwo VSTAR PSA 1,99.99,eBay,Mewtwo VSTAR,Crown Zenith,Ultra Rare,1.0,PSA,yes,,6.0,42971.0
2026-04-22,Giratina VSTAR PSA 10,580.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-21,Giratina VSTAR PSA 10,593.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-21,Giratina VSTAR PSA 10,573.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-21,Giratina VSTAR PSA 10,562.7,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-20,Giratina VSTAR PSA 10,535.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-20,Giratina VSTAR PSA 10,530.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-20,Giratina VSTAR PSA 10,586.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-20,Giratina VSTAR PSA 10,570.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-20,Giratina VSTAR PSA 10,536.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-20,Giratina VSTAR PSA 10,550.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-19,Giratina VSTAR PSA 10,560.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-19,Giratina VSTAR PSA 10,560.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-17,Giratina VSTAR PSA 10,600.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-16,Giratina VSTAR PSA 10,560.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-16,Giratina VSTAR PSA 10,535.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-16,Giratina VSTAR PSA 10,600.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-16,Giratina VSTAR PSA 10,599.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-16,Giratina VSTAR PSA 10,587.9,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-15,Giratina VSTAR PSA 10,560.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-15,Giratina VSTAR PSA 10,599.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-15,Giratina VSTAR PSA 10,595.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-15,Giratina VSTAR PSA 10,600.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-15,Giratina VSTAR PSA 10,560.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-14,Giratina VSTAR PSA 10,579.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-14,Giratina VSTAR PSA 10,575.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-13,Giratina VSTAR PSA 10,586.97,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-13,Giratina VSTAR PSA 10,575.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-13,Giratina VSTAR PSA 10,575.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-10,Giratina VSTAR PSA 10,620.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-10,Giratina VSTAR PSA 10,608.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,10.0,PSA,yes,,22870.0,41714.0
2026-04-20,Giratina VSTAR PSA 9,276.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-19,Giratina VSTAR PSA 9,248.05,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-17,Giratina VSTAR PSA 9,250.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-17,Giratina VSTAR PSA 9,219.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-17,Giratina VSTAR PSA 9,229.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-16,Giratina VSTAR PSA 9,245.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-16,Giratina VSTAR PSA 9,249.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-15,Giratina VSTAR PSA 9,250.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-14,Giratina VSTAR PSA 9,250.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-13,Giratina VSTAR PSA 9,242.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-13,Giratina VSTAR PSA 9,245.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-12,Giratina VSTAR PSA 9,249.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-10,Giratina VSTAR PSA 9,249.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-10,Giratina VSTAR PSA 9,213.5,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-08,Giratina VSTAR PSA 9,250.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-08,Giratina VSTAR PSA 9,200.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-08,Giratina VSTAR PSA 9,250.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-07,Giratina VSTAR PSA 9,249.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-07,Giratina VSTAR PSA 9,230.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-06,Giratina VSTAR PSA 9,264.7,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-05,Giratina VSTAR PSA 9,215.95,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-05,Giratina VSTAR PSA 9,215.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-04,Giratina VSTAR PSA 9,225.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-03,Giratina VSTAR PSA 9,229.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-03,Giratina VSTAR PSA 9,204.63,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-02,Giratina VSTAR PSA 9,209.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-02,Giratina VSTAR PSA 9,229.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,9.0,PSA,yes,,14537.0,41714.0
2026-04-06,Giratina VSTAR PSA 8,225.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-04-05,Giratina VSTAR PSA 8,192.51,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-04-01,Giratina VSTAR PSA 8,180.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-03-23,Giratina VSTAR PSA 8,185.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-03-21,Giratina VSTAR PSA 8,222.5,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-03-16,Giratina VSTAR PSA 8,190.5,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-03-15,Giratina VSTAR PSA 8,180.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-03-01,Giratina VSTAR PSA 8,174.99,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-02-10,Giratina VSTAR PSA 8,157.5,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-02-08,Giratina VSTAR PSA 8,174.49,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-02-02,Giratina VSTAR PSA 8,173.5,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-01-30,Giratina VSTAR PSA 8,160.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-01-25,Giratina VSTAR PSA 8,175.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-01-24,Giratina VSTAR PSA 8,162.5,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
2026-01-13,Giratina VSTAR PSA 8,160.0,eBay,Giratina VSTAR,Crown Zenith,Secret Rare,8.0,PSA,yes,,3248.0,41714.0
